Universidad Mayor de San Andres                                                          ESTACION DE PATACAMAYA
IIF LABORATORIO DE METEOROLOGIA
                                         REPORTE DIARIO DE MEDIAS HORARIAS (2014)

ÚÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄÂÄÄÄÄÄÄÄ¿
³  FECHA  ³ HORA ³ Tem10 ³ Hum10 ³ Temp4 ³ Hume4 ³ R.sol ³ Evapo ³ Vel10 ³ Dir10 ³ Velo4 ³ Dire4 ³ Temp0 ³ Presi ³ Lluvi ³
³       ³      ³   øC  ³   %   ³   øC  ³   %   ³  W/mý ³  ohm  ³   m/s ³  ø/N  ³   m/s ³  ø/N  ³   øC  ³  mBar ³   mm  ³
ÃÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄ´
³     1 ³    0 ³   8.9 ³  85.4 ³  10.9 ³  79.4 ³   0.0 ³ 140.9 ³   1.9 ³ 232.9 ³   1.5 ³ 263.8 ³ -99.0 ³ 648.7 ³   0.0 ³
³     1 ³    1 ³   8.8 ³  87.6 ³  10.8 ³  81.6 ³   0.0 ³ 140.7 ³   1.2 ³ 103.7 ³   0.9 ³ 106.5 ³ -99.0 ³ 648.0 ³   0.0 ³
³     1 ³    2 ³   8.5 ³  89.4 ³  10.5 ³  83.5 ³   0.0 ³ 140.7 ³   2.0 ³ 125.9 ³   1.5 ³ 127.2 ³ -99.0 ³ 647.6 ³   0.0 ³
³     1 ³    3 ³   8.4 ³  89.7 ³  10.4 ³  83.6 ³   0.0 ³ 140.8 ³   1.7 ³ 145.9 ³   1.3 ³ 147.3 ³ -99.0 ³ 647.1 ³   0.0 ³
³     1 ³    4 ³   8.3 ³  91.5 ³  10.2 ³  85.3 ³   0.0 ³ 140.8 ³   1.0 ³ 135.0 ³   0.8 ³  90.5 ³ -99.0 ³ 646.9 ³   0.0 ³
³     1 ³    5 ³   8.3 ³  91.7 ³  10.2 ³  86.3 ³   0.0 ³ 140.8 ³   0.8 ³ 212.8 ³   0.6 ³ 205.7 ³ -99.0 ³ 647.1 ³   0.0 ³
³     1 ³    6 ³   8.4 ³  93.4 ³  10.3 ³  87.8 ³  40.7 ³ 140.8 ³   0.4 ³ 151.9 ³   0.1 ³ 150.1 ³ -99.0 ³ 648.0 ³   0.0 ³
³     1 ³    7 ³  10.2 ³  85.0 ³  12.2 ³  79.7 ³ 285.4 ³ 140.5 ³   1.4 ³ 165.3 ³   1.1 ³ 177.3 ³ -99.0 ³ 648.2 ³   0.0 ³
³     1 ³    8 ³  11.2 ³  79.5 ³  13.6 ³  73.5 ³ 394.1 ³ 140.1 ³   2.2 ³ 131.5 ³   1.8 ³ 128.5 ³ -99.0 ³ 648.4 ³   0.0 ³
³     1 ³    9 ³  12.9 ³  72.6 ³  15.6 ³  66.5 ³ 705.1 ³ 139.8 ³   3.6 ³ 132.1 ³   2.7 ³ 142.2 ³ -99.0 ³ 648.3 ³   0.0 ³
³     1 ³   10 ³  14.4 ³  65.1 ³  17.1 ³  58.9 ³ 619.6 ³ 138.7 ³   3.5 ³ 136.0 ³   2.6 ³ 147.6 ³ -99.0 ³ 647.9 ³   0.0 ³
³     1 ³   11 ³  16.1 ³  51.2 ³  19.5 ³  44.6 ³1208.0 ³ 137.4 ³   3.2 ³ 135.5 ³   2.8 ³ 132.1 ³ -99.0 ³ 647.3 ³   0.0 ³
³     1 ³   12 ³  16.2 ³  53.5 ³  19.7 ³  45.0 ³ 714.5 ³ 137.1 ³   4.2 ³ 135.5 ³   4.0 ³  80.2 ³ -99.0 ³ 646.9 ³   0.0 ³
³     1 ³   13 ³  12.8 ³  77.0 ³  15.2 ³  75.4 ³ 358.8 ³ 135.4 ³   6.3 ³ 157.0 ³   5.7 ³ 163.5 ³ -99.0 ³ 646.7 ³   0.0 ³
³     1 ³   14 ³  14.7 ³  65.2 ³  17.7 ³  61.2 ³ 980.8 ³ 135.7 ³   6.7 ³ 204.8 ³   6.1 ³ 258.0 ³ -99.0 ³ 646.0 ³   0.0 ³
³     1 ³   15 ³  15.9 ³  58.3 ³  19.1 ³  50.9 ³ 815.8 ³ 135.8 ³   6.9 ³ 181.7 ³   6.1 ³ 177.8 ³ -99.0 ³ 645.3 ³   0.0 ³
³     1 ³   16 ³  15.8 ³  56.1 ³  18.7 ³  48.9 ³ 544.4 ³ 134.9 ³   6.7 ³ 156.5 ³   6.3 ³ 128.2 ³ -99.0 ³ 644.8 ³   0.0 ³
³     1 ³   17 ³  15.4 ³  54.9 ³  17.9 ³  48.9 ³ 195.3 ³ 132.3 ³   7.1 ³ 164.4 ³   6.8 ³ 153.5 ³ -99.0 ³ 644.7 ³   0.0 ³
³     1 ³   18 ³  14.1 ³  60.9 ³  16.2 ³  56.2 ³  40.7 ³ 130.1 ³   5.5 ³ 181.6 ³   4.6 ³ 234.4 ³ -99.0 ³ 645.4 ³   0.0 ³
³     1 ³   19 ³  12.7 ³  72.9 ³  14.7 ³  68.6 ³   0.1 ³ 128.4 ³   5.3 ³ 220.6 ³   4.2 ³ 341.1 ³ -99.0 ³ 646.0 ³   0.0 ³
³     1 ³   20 ³  12.0 ³  75.0 ³  14.0 ³  70.5 ³   0.0 ³ 127.8 ³   3.9 ³ 248.5 ³   3.3 ³ 315.5 ³ -99.0 ³ 647.0 ³   0.0 ³
³     1 ³   21 ³  11.8 ³  74.4 ³  13.7 ³  69.9 ³   0.0 ³ 127.8 ³   2.6 ³ 236.0 ³   1.9 ³ 267.2 ³ -99.0 ³ 647.6 ³   0.0 ³
³     1 ³   22 ³   9.9 ³  85.9 ³  11.5 ³  81.3 ³   0.0 ³ 127.2 ³   1.2 ³ 127.3 ³   0.8 ³ 110.5 ³ -99.0 ³ 647.9 ³   0.0 ³
³     1 ³   23 ³   8.8 ³  90.5 ³  10.3 ³  85.4 ³   0.0 ³ 126.5 ³   1.3 ³ 107.2 ³   0.9 ³  88.8 ³ -99.0 ³ 647.8 ³   0.0 ³
ÃÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄÅÄÄÄÄÄÄÄ´
³     2 ³    0 ³   8.3 ³  94.3 ³   9.6 ³  90.5 ³   0.0 ³ 126.2 ³   1.7 ³ 110.1 ³   1.3 ³  48.5 ³ -99.0 ³ 647.5 ³   0.0 ³
³     2 ³    1 ³   9.4 ³  92.5 ³  11.2 ³  88.0 ³   0.0 ³ 125.4 ³   1.2 ³ 192.0 ³   0.8 ³ 196.8 ³ -99.0 ³ 647.0 ³   0.0 ³
³     2 ³    2 ³   9.8 ³  90.1 ³  11.7 ³  85.3 ³   0.0 ³ 125.2 ³   1.5 ³ 234.0 ³   1.2 ³ 321.4 ³ -99.0 ³ 646.4 ³   0.0 ³
³     2 ³    3 ³   9.8 ³  89.4 ³  11.7 ³  84.4 ³   0.0 ³ 125.3 ³   2.0 ³ 183.2 ³   1.7 ³ 186.9 ³ -99.0 ³ 645.9 ³   0.0 ³
³     2 ³    4 ³   9.2 ³  91.4 ³  10.4 ³  88.2 ³   0.0 ³ 125.2 ³   2.2 ³ 208.6 ³   1.4 ³ 284.6 ³ -99.0 ³ 645.8 ³   0.0 ³
